old_circuit_id,new_circuit_id,tipo,status,final_status,modem,plan,mac_address,city,latitude,longitude,state,terminal_id,created_at,terminated_at
PASI001219,PASF000270,indigena,Migração,Ativo,SB2PLUSMODEM,0040-GESAC2 300 (SB2+),00A0BC72AF18,,-6.645471096038818,-51.99542236328125,PA,FTB-011381,2020-01-16,2025-01-16
CESI000796,CESI000796,indigena,Will Not Migrate,Terminated,SB2MODEM,0009-Telebras Plan 3 - 20Mbps,NOT_AVAILABLE,MONSENHOR TABOSA,-4.790500164031982,-40.0634994506836,CE,FTB-006618,2019-06-16,2024-06-16
CESI000198,CESF000172,indigena,Migração,Bloqueados,SB2PLUSMODEM,0041-GESAC2 400 (SB2+),00A0BC94C57C,,-3.031860113143921,-39.85791015625,CE,FTB-006609,2019-06-15,2024-06-15
CESI000273,CESF000170,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC947B50,,-3.182223081588745,-39.435279846191406,CE,FTB-004179,2019-05-15,2024-05-15
MGSI000126,MGSF000687,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCBA6878,,-20.468334197998047,-45.0422248840332,MG,FTB-004244,2019-05-16,2024-05-16
AMSI000054,AMSI000054,indigena,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BENJAMIN CONSTANT,-4.3831000328063965,-69.99310302734375,AM,FTB-004926,2019-05-25,2024-05-25
AMSI000306,AMSI000306,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC44158A,Tabatinga,-4.26639986038208,-69.94309997558594,AM,FTB-004253,2019-05-16,2024-05-16
AMSI000375,AMSI000375,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC37A099,Tabatinga,-4.26609992980957,-69.93560028076172,AM,FTB-004185,2019-05-15,2024-05-15
AMSI000384,AMSI000384,indigena,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Tabatinga,-4.268599987030029,-69.93499755859375,AM,FTB-004116,2019-05-15,2024-05-15
AMSI000185,AMSI000185,indigena,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Tabatinga,-4.041900157928467,-69.52580261230469,AM,FTB-004524,2019-05-21,2024-05-21
AMSI000189,AMSI000189,indigena,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Tabatinga,-4.042799949645996,-69.52690124511719,AM,FTB-004463,2019-05-20,2024-05-20
PASI000704,PASI000704,indigena,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Oriximiná,-0.6960999965667725,-57.971099853515625,PA,FTB-009723,2019-09-24,2024-09-24
BASI001100,BASF001107,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCBE6E08,,-16.86669921875,-39.15779876708984,BA,FTB-008836,2019-08-01,2024-08-01
PASI000615,PASI000615,indigena,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,JACAREACANGA,-6.223800182342529,-57.76079940795898,PA,FTB-007991,2019-07-15,2024-07-15
BASI000802,BASI000802,indigena,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Porto Seguro,-16.843900680541992,-39.346900939941406,BA,FTB-005251,2019-05-29,2024-05-29
BASI000804,BASF001108,indigena,Migração,Ativo,SB2PLUSMODEM,0041-GESAC2 400 (SB2+),00A0BC624EDC,,-16.86440086364746,-39.153099060058594,BA,FTB-005216,2019-05-29,2024-05-29
BASI000870,BASI000870,indigena,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Porto Seguro,-16.476900100708008,-39.08560180664063,BA,FTB-005386,2019-05-31,2024-05-31
ESSI000039,ESSF000388,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC62ECA4,Aracruz,-19.9192008972168,-40.17169952392578,ES,FTB-005244,2019-05-29,2024-05-29
RSSI000023,RSSF000177,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,NOT_AVAILABLE,Irai,-27.197776794433597,-53.23110961914063,Rio Grande do Sul,FTB-006720,2019-06-18,2024-06-18
TOSI000019,TOSI000019,indigena,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,SANTA FE DO ARAGUAIA,-7.154699802398682,-48.69329833984375,TO,FTB-006326,2019-06-12,2024-06-12
TOSI000058,TOSF000170,indigena,Migração,Ativo,,,,,,,,FTB-006634,2019-06-17,2024-06-17
TOSI000062,TOSI000062,indigena,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Tocantinópolis,-6.2027997970581055,-47.4557991027832,TO,FTB-006603,2019-06-15,2024-06-15
TOSI000121,TOSF000045,indigena,Migração,Ativo,SB2PLUSMODEM,0042-GESAC2 400 WIFI (SB2+),00A0BC946F00,,-10.730544090270996,-48.6258659362793,TO,FTB-006619,2019-06-16,2024-06-16
TOSI000119,TOSF000137,indigena,Migração,Ativo,SB2PLUSMODEM,0042-GESAC2 400 WIFI (SB2+),00A0BC4E294C,,-6.328888893127441,-47.41583251953125,TO,FTB-006594,2019-06-15,2024-06-15
TOSI000120,TOSF000044,indigena,Migração,Ativo,SB2PLUSMODEM,0041-GESAC2 400 (SB2+),00A0BC6CABEC,,-7.710480213165283,-47.31439208984375,TO,FTB-006631,2019-06-17,2024-06-17
RRSI000333,RRSI000333,indigena,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Alto Alegre,3.2727999687194824,-61.07220077514648,RR,FTB-005506,2019-06-01,2024-06-01
